,alpha,capacity,capacity_normalized,conditional_var,cov,dither_on,dither_size,error_bias,mse,mse_from_big_errors,normalized_mse,number_of_big_errors,number_of_samples,recovered_x_before_alpha_var,sim_id,snr,snr_normalized,x_mod,x_quantizer_bin_size,x_quantizer_modulo_edge_to_edge,x_quantizer_number_of_quants,x_samples_var,x_var,y_mod,y_quantizer_bin_size,y_quantizer_modulo_edge_to_edge,y_quantizer_number_of_quants,y_var
0,0.935370749,3.650406832,1.108148791,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-6.25E-05,0.865284988,0.405928264,0.865284988,677928,50000000,10.68805488,1109,11.55688604,1.155688604,5.85,0.417857143,5.85,14,9.997293889,10,6000,3,6000,2000,10
0,0.801382904,2.194325433,0.441138824,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000145827,2.795829384,1.34494097,2.795829384,8309254,50000000,12.47671586,111,3.57675617,0.357675617,5.5,0.366666667,5.5,15,9.998626787,10,10000,5,10000,2000,10
0,0.90522959,2.946750341,0.740720722,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000269087,1.490289842,0.699470842,1.490289842,1403851,50000000,11.0476132,1110,6.710104112,0.671010411,5.85,0.417857143,5.85,14,10.00062637,10,8000,4,8000,2000,10
0,0.812193265,2.328145021,0.487650235,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,5.06E-05,2.486577013,1.173073501,2.486577013,5852057,50000000,12.31146401,1111,4.021592715,0.402159271,5.85,0.417857143,5.85,14,9.999288146,10,10000,5,10000,2000,10
0,0.99330861,6.13717125,2.988844401,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,3.38E-05,0.144125888,0.065699906,0.144125888,98158,50000000,10.06604362,1112,69.38378774,6.938378774,5.85,0.39,5.85,15,9.998687791,10,1000,0.5,1000,2000,10
0,0.989870645,5.782327801,2.678903895,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,2.74E-05,0.185058664,0.085846557,0.185058664,128973,50000000,10.10389969,1113,54.03691888,5.403691888,5.85,0.39,5.85,15,10.0015537,10,2000,1,2000,2000,10
0,0.985793042,5.316759059,2.288563518,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-4.83E-05,0.257354283,0.121418785,0.257354283,183437,50000000,10.14697147,1114,38.85694033,3.885694033,5.85,0.39,5.85,15,10.00281388,10,3000,1.5,3000,2000,10
0,0.971839958,4.672014468,1.786292684,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.0001384,0.408284272,0.193887429,0.408284272,300211,50000000,10.28855921,1115,24.49273873,2.449273873,5.85,0.39,5.85,15,9.998832955,10,4000,2,4000,2000,10
0,0.964273867,4.251910377,1.488130684,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000120877,0.5539391,0.264557507,0.5539391,414133,50000000,10.37036424,1116,18.05252598,1.805252598,5.85,0.39,5.85,15,9.999871219,10,5000,2.5,5000,2000,10
0,0.936633013,3.689593645,1.131104341,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000117312,0.840150212,0.395604039,0.840150212,663332,50000000,10.67632639,1117,11.90263343,1.190263343,5.85,0.39,5.85,15,9.999799748,10,6000,3,6000,2000,10
0,0.920405242,3.028736343,0.779129059,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.33E-06,1.396463598,0.664409502,1.396463598,1200058,50000000,10.86214773,1118,7.160945701,0.71609457,5.85,0.39,5.85,15,9.99757771,10,8000,4,8000,2000,10
0,0.862943062,2.405389094,0.515791588,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000316907,2.32678036,1.108397616,2.32678036,3707768,50000000,11.58536174,1119,4.297784257,0.429778426,5.85,0.39,5.85,15,9.997507541,10,10000,5,10000,2000,10
0,0.989996438,5.606617334,2.529219104,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.76E-05,0.209529776,0.099531296,0.209529776,168647,50000000,10.10189677,112,47.72591372,4.772591372,5.5,0.34375,5.5,16,10.00084181,10,1000,0.5,1000,2000,10
0,0.99248714,6.125031668,2.978086268,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-5.14E-05,0.145361457,0.066786753,0.145361457,99802,50000000,10.07574641,1120,68.79402689,6.879402689,5.85,0.365625,5.85,16,10.00004873,10,1000,0.5,1000,2000,10
0,0.989426684,5.776745512,2.674107468,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,4.73E-05,0.185789437,0.087036661,0.185789437,130666,50000000,10.10860404,1121,53.82437336,5.382437336,5.85,0.365625,5.85,16,10.00172258,10,2000,1,2000,2000,10
0,0.991066891,5.48135178,2.424213627,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.71E-05,0.228971088,0.108729032,0.228971088,162493,50000000,10.08726823,1122,43.67363613,4.367363613,5.85,0.365625,5.85,16,9.997157563,10,3000,1.5,3000,2000,10
0,0.977242243,4.803262737,1.884429551,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.00010419,0.371461492,0.178219056,0.371461492,272697,50000000,10.23572873,1123,26.92069091,2.692069091,5.85,0.365625,5.85,16,10.0027865,10,4000,2,4000,2000,10
0,0.978019635,4.402702793,1.592240102,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-6.89E-05,0.49623566,0.240308823,0.49623566,365598,50000000,10.22458616,1124,20.15171581,2.015171581,5.85,0.365625,5.85,16,9.99984603,10,5000,2.5,5000,2000,10
0,0.95497172,3.854298983,1.230389988,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,6.75E-05,0.742774257,0.356817743,0.742774257,565486,50000000,10.4716517,1125,13.46304063,1.346304063,5.85,0.365625,5.85,16,10.00013123,10,6000,3,6000,2000,10
0,0.940115203,3.074255472,0.800955014,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000195374,1.347247605,0.652658466,1.347247605,1058969,50000000,10.6371351,1126,7.422540568,0.742254057,5.85,0.365625,5.85,16,10.00013242,10,8000,4,8000,2000,10
0,0.779751885,2.285918205,0.472669085,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000188621,2.57948431,1.237430713,2.57948431,9042057,50000000,12.82626074,1127,3.876743875,0.387674388,5.85,0.365625,5.85,16,10.001301,10,10000,5,10000,2000,10
0,0.992699036,6.142613807,2.993670948,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-8.23E-05,0.143575406,0.066515666,0.143575406,99248,50000000,10.07236903,1128,69.64981154,6.964981154,5.85,0.344117647,5.85,17,9.998831023,10,1000,0.5,1000,2000,10
0,0.992468818,5.869523039,2.754158074,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.27E-05,0.174016302,0.081916645,0.174016302,122150,50000000,10.07602877,1129,57.46588057,5.746588057,5.85,0.344117647,5.85,17,10.00014437,10,2000,1,2000,2000,10
0,0.989981522,5.355822463,2.320510024,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-1.87E-05,0.250307393,0.119731464,0.250307393,202628,50000000,10.09730845,113,39.95087754,3.995087754,5.5,0.34375,5.5,16,9.996148789,10,2000,1,2000,2000,10
0,0.9841763,5.29420905,2.270194046,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,3.08E-05,0.261514477,0.1248977,0.261514477,188818,50000000,10.16144969,1130,38.23880089,3.823880089,5.85,0.344117647,5.85,17,10.00065796,10,3000,1.5,3000,2000,10
0,0.973497916,4.742994373,1.839086264,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-3.28E-05,0.387922644,0.185769004,0.387922644,286203,50000000,10.2733014,1131,25.77833532,2.577833532,5.85,0.344117647,5.85,17,10.0010375,10,4000,2,4000,2000,10
0,0.966727198,4.265287119,1.497229307,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000131005,0.548546247,0.264654691,0.548546247,411180,50000000,10.34528711,1132,18.23000348,1.823000348,5.85,0.344117647,5.85,17,10.00107042,10,5000,2.5,5000,2000,10
0,0.956872639,3.854175701,1.230313996,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000138162,0.742842447,0.357663418,0.742842447,563920,50000000,10.4498953,1133,13.46180478,1.346180478,5.85,0.344117647,5.85,17,9.999218889,10,6000,3,6000,2000,10
0,0.909531381,2.965403041,0.749357122,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000131675,1.468334825,0.697395032,1.468334825,1690050,50000000,10.99247972,1134,6.810435759,0.681043576,5.85,0.344117647,5.85,17,9.998005254,10,8000,4,8000,2000,10
0,0.826110018,2.363292409,0.50033631,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,7.56E-05,2.412293404,1.158435819,2.412293404,6826313,50000000,12.10501587,1135,4.145432717,0.414543272,5.85,0.344117647,5.85,17,10.00007488,10,10000,5,10000,2000,10
0,0.993094003,6.163475726,3.012190644,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.27E-05,0.141485027,0.066165963,0.141485027,98545,50000000,10.06938379,1136,70.67885693,7.067885693,5.85,0.325,5.85,18,9.999844661,10,1000,0.5,1000,2000,10
0,0.988366057,5.729413827,2.633544904,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-3.66E-05,0.19210491,0.09098741,0.19210491,136578,50000000,10.11757501,1137,52.05489014,5.205489014,5.85,0.325,5.85,18,9.999867724,10,2000,1,2000,2000,10
0,0.984881043,5.323298939,2.293900903,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,9.87E-05,0.256160494,0.122954589,0.256160494,185441,50000000,10.14860832,1138,39.03802594,3.903802594,5.85,0.325,5.85,18,9.995171945,10,3000,1.5,3000,2000,10
0,0.982506677,4.913072704,1.968231941,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,2.92E-05,0.343302504,0.166076227,0.343302504,250992,50000000,10.17714958,1139,29.12882915,2.912882915,5.85,0.325,5.85,18,9.999117419,10,4000,2,4000,2000,10
0,0.978656918,4.838524724,1.911174981,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,4.01E-05,0.362167549,0.174265927,0.362167549,300664,50000000,10.21543208,114,27.61152963,2.761152963,5.5,0.34375,5.5,16,9.997403277,10,3000,1.5,3000,2000,10
0,0.961443068,4.228955153,1.472579977,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000109041,0.563323993,0.270662021,0.563323993,425216,50000000,10.40152223,1140,17.75177362,1.775177362,5.85,0.325,5.85,18,10.00047145,10,5000,2.5,5000,2000,10
